method,N,Top1_N,Top1,Top3_N,Top3,Top5_N,Top5,MRR
CASTpFold,14,6,0.428571428571429,10,0.714285714285714,11,0.785714285714286,0.589880952380952
CavityPlus,14,6,0.428571428571429,10,0.714285714285714,13,0.928571428571429,0.613095238095238
DoGSite3,14,12,0.857142857142857,12,0.857142857142857,13,0.928571428571429,0.880357142857143
DoGSiteScorer,14,9,0.642857142857143,12,0.857142857142857,13,0.928571428571429,0.761446886446886
OIPS-P,14,7,0.5,12,0.857142857142857,13,0.928571428571429,0.679761904761905
SiteMap,14,7,0.5,9,0.642857142857143,11,0.785714285714286,0.591666666666667
