analysis_level,Pocket_category,target_N,Full_reference_Top1,Without_O_rel_reference_Top1,Full_reference_Top3,Without_O_rel_reference_Top3,Full_reference_MRR,Without_O_rel_reference_MRR,mean_rank_Spearman_rho,top_cluster_identity_change_fraction
pocket_archetype,allosteric,4,0.25,0.75,1,0.75,0.583333333333333,0.791666666666667,0.835044713770384,0.75
pocket_archetype,complex-dependent,4,0.25,0.25,0.5,0.75,0.4625,0.479166666666667,0.797058240274654,0
pocket_archetype,interface/PPI,8,0.75,0.75,1,0.875,0.854166666666667,0.816666666666667,0.774030499875456,0.125
pocket_archetype,orthosteric,5,0.8,0.8,0.8,0.8,0.833333333333333,0.833333333333333,0.719107988964576,0
